EmployeeUnionKey,UnionCode,CountryKey,RecordStatusKey,UnionName,UnionDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,EU000001,44,1,Junction EmployeeUnion 1,EmployeeUnion starter record 1,Riley Singh,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,EU000002,8,4,Titan EmployeeUnion 2,EmployeeUnion starter record 2,Harper Hughes,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,EU000003,35,4,Cedar EmployeeUnion 3,EmployeeUnion starter record 3,Jordan Bennett,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,EU000004,116,2,Summit EmployeeUnion 4,EmployeeUnion starter record 4,Emerson Martin,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,EU000005,124,2,Delta EmployeeUnion 5,EmployeeUnion starter record 5,Emerson Adams,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,EU000006,19,4,Orion EmployeeUnion 6,EmployeeUnion starter record 6,Riley Chen,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,EU000007,249,3,Keystone EmployeeUnion 7,EmployeeUnion starter record 7,Quinn Evans,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,EU000008,24,2,Zenith EmployeeUnion 8,EmployeeUnion starter record 8,Riley Garcia,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,EU000009,188,3,Evergreen EmployeeUnion 9,EmployeeUnion starter record 9,Finley Hughes,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,EU000010,159,3,Keystone EmployeeUnion 10,EmployeeUnion starter record 10,Finley Martin,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,EU000011,231,3,Summit EmployeeUnion 11,EmployeeUnion starter record 11,Emerson Khan,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,EU000012,237,3,Northstar EmployeeUnion 12,EmployeeUnion starter record 12,Harper Bennett,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
