WorkCenterCapabilityKey,CapabilityCode,RecordStatusKey,CapabilityName,CapabilityDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,WCC000001,3,Liberty WorkCenterCapability 1,WorkCenterCapability starter record 1,Finley Hughes,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,WCC000002,1,Orion WorkCenterCapability 2,WorkCenterCapability starter record 2,Jordan Patel,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,WCC000003,1,Meridian WorkCenterCapability 3,WorkCenterCapability starter record 3,Alex Adams,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,WCC000004,3,Junction WorkCenterCapability 4,WorkCenterCapability starter record 4,Alex Adams,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,WCC000005,4,Delta WorkCenterCapability 5,WorkCenterCapability starter record 5,Emerson Garcia,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,WCC000006,3,Atlas WorkCenterCapability 6,WorkCenterCapability starter record 6,Finley Khan,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,WCC000007,1,Beacon WorkCenterCapability 7,WorkCenterCapability starter record 7,Devon Chen,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,WCC000008,1,Zenith WorkCenterCapability 8,WorkCenterCapability starter record 8,Morgan Evans,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,WCC000009,2,Atlas WorkCenterCapability 9,WorkCenterCapability starter record 9,Morgan Patel,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,WCC000010,4,Beacon WorkCenterCapability 10,WorkCenterCapability starter record 10,Quinn Khan,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,WCC000011,1,Atlas WorkCenterCapability 11,WorkCenterCapability starter record 11,Devon Khan,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,WCC000012,3,Titan WorkCenterCapability 12,WorkCenterCapability starter record 12,Devon Patel,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,WCC000013,1,Meridian WorkCenterCapability 13,WorkCenterCapability starter record 13,Casey Garcia,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,WCC000014,1,Keystone WorkCenterCapability 14,WorkCenterCapability starter record 14,Blair Bennett,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,WCC000015,3,Quartz WorkCenterCapability 15,WorkCenterCapability starter record 15,Taylor Hughes,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,WCC000016,1,Forge WorkCenterCapability 16,WorkCenterCapability starter record 16,Taylor Garcia,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,WCC000017,3,Junction WorkCenterCapability 17,WorkCenterCapability starter record 17,Quinn Patel,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,WCC000018,1,Meridian WorkCenterCapability 18,WorkCenterCapability starter record 18,Blair Khan,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,WCC000019,1,Vertex WorkCenterCapability 19,WorkCenterCapability starter record 19,Finley Chen,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,WCC000020,3,Willow WorkCenterCapability 20,WorkCenterCapability starter record 20,Emerson Martin,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,WCC000021,4,Evergreen WorkCenterCapability 21,WorkCenterCapability starter record 21,Jordan Garcia,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,WCC000022,3,Willow WorkCenterCapability 22,WorkCenterCapability starter record 22,Emerson Evans,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,WCC000023,4,Junction WorkCenterCapability 23,WorkCenterCapability starter record 23,Jordan Khan,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,WCC000024,3,Junction WorkCenterCapability 24,WorkCenterCapability starter record 24,Taylor Khan,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,WCC000025,3,Summit WorkCenterCapability 25,WorkCenterCapability starter record 25,Morgan Diaz,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,WCC000026,4,Riverton WorkCenterCapability 26,WorkCenterCapability starter record 26,Devon Diaz,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,WCC000027,2,Summit WorkCenterCapability 27,WorkCenterCapability starter record 27,Blair Patel,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,WCC000028,1,Northstar WorkCenterCapability 28,WorkCenterCapability starter record 28,Harper Hughes,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,WCC000029,2,Willow WorkCenterCapability 29,WorkCenterCapability starter record 29,Morgan Chen,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,WCC000030,3,Unity WorkCenterCapability 30,WorkCenterCapability starter record 30,Emerson Bennett,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
