ProductBrandKey,BrandCode,BrandOwnerKey,RecordStatusKey,BrandName,BrandDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,PB000001,48,2,Willow ProductBrand 1,ProductBrand starter record 1,Blair Adams,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,PB000002,37,4,Summit ProductBrand 2,ProductBrand starter record 2,Quinn Adams,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,PB000003,44,2,Atlas ProductBrand 3,ProductBrand starter record 3,Devon Hughes,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,PB000004,16,3,Titan ProductBrand 4,ProductBrand starter record 4,Alex Patel,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,PB000005,111,3,Granite ProductBrand 5,ProductBrand starter record 5,Alex Adams,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,PB000006,62,4,Forge ProductBrand 6,ProductBrand starter record 6,Casey Bennett,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,PB000007,69,2,Riverton ProductBrand 7,ProductBrand starter record 7,Casey Reed,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,PB000008,14,1,Titan ProductBrand 8,ProductBrand starter record 8,Jordan Khan,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,PB000009,53,3,Atlas ProductBrand 9,ProductBrand starter record 9,Jordan Reed,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,PB000010,76,2,Evergreen ProductBrand 10,ProductBrand starter record 10,Blair Singh,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,PB000011,55,2,Forge ProductBrand 11,ProductBrand starter record 11,Devon Reed,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,PB000012,37,3,Beacon ProductBrand 12,ProductBrand starter record 12,Quinn Bennett,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,PB000013,110,1,Evergreen ProductBrand 13,ProductBrand starter record 13,Devon Hughes,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,PB000014,52,1,Ion ProductBrand 14,ProductBrand starter record 14,Devon Singh,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,PB000015,21,2,Cedar ProductBrand 15,ProductBrand starter record 15,Casey Garcia,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,PB000016,69,4,Quartz ProductBrand 16,ProductBrand starter record 16,Blair Martin,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,PB000017,19,2,Keystone ProductBrand 17,ProductBrand starter record 17,Harper Garcia,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,PB000018,96,4,Harbor ProductBrand 18,ProductBrand starter record 18,Morgan Bennett,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,PB000019,97,3,Unity ProductBrand 19,ProductBrand starter record 19,Blair Adams,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,PB000020,40,4,Harbor ProductBrand 20,ProductBrand starter record 20,Emerson Singh,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,PB000021,41,4,Titan ProductBrand 21,ProductBrand starter record 21,Harper Evans,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,PB000022,23,2,Forge ProductBrand 22,ProductBrand starter record 22,Taylor Evans,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,PB000023,75,4,Northstar ProductBrand 23,ProductBrand starter record 23,Morgan Hughes,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,PB000024,93,2,Summit ProductBrand 24,ProductBrand starter record 24,Harper Diaz,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,PB000025,82,4,Summit ProductBrand 25,ProductBrand starter record 25,Taylor Garcia,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,PB000026,114,4,Atlas ProductBrand 26,ProductBrand starter record 26,Riley Garcia,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,PB000027,17,4,Granite ProductBrand 27,ProductBrand starter record 27,Devon Adams,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,PB000028,112,3,Zenith ProductBrand 28,ProductBrand starter record 28,Emerson Reed,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,PB000029,119,2,Unity ProductBrand 29,ProductBrand starter record 29,Finley Diaz,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,PB000030,106,2,Harbor ProductBrand 30,ProductBrand starter record 30,Blair Khan,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,PB000031,116,3,Willow ProductBrand 31,ProductBrand starter record 31,Quinn Garcia,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,PB000032,89,2,Evergreen ProductBrand 32,ProductBrand starter record 32,Alex Adams,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,PB000033,61,1,Northstar ProductBrand 33,ProductBrand starter record 33,Quinn Evans,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,PB000034,73,3,Meridian ProductBrand 34,ProductBrand starter record 34,Quinn Evans,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,PB000035,9,4,Ion ProductBrand 35,ProductBrand starter record 35,Devon Khan,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,PB000036,34,3,Orion ProductBrand 36,ProductBrand starter record 36,Riley Diaz,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,PB000037,36,3,Harbor ProductBrand 37,ProductBrand starter record 37,Devon Singh,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,PB000038,61,3,Meridian ProductBrand 38,ProductBrand starter record 38,Devon Diaz,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
