EmployeeKey,EmployeeNumber,EmployeeJobRoleKey,EmployeePayGradeKey,SupervisorEmployeeKey,EmployeeUnionKey,EmploymentTypeKey,LanguageKey,RecordStatusKey,ShiftCodeKey,EmployeeFullName,PreferredName,HireDate,TerminationDate,EmailAddress,SupervisorEmployeeNumber,StandardHourlyRateAmount,HomePlantCode,BadgeNumber,SafetyTrainingCurrentFlag,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,-1,-1,Unknown,Unknown,1900-01-01,1900-01-01,N/A,UNKNOWN,0.0000,UNKNOWN,UNKNOWN,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,E000001,314,73,-1,1,7,7,3,1,Jordan Evans,Forge Employee 1,2020-01-02,2020-01-02,user1@example.com,E000001,0.0001,E000001,E000001,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b495f0d5c6635c839623ed4b2322b0e3b495f0d5c6635c839623ed4b2322b0e3
2,E000002,252,48,-1,45,6,16,1,10,Finley Bennett,Quartz Employee 2,2020-01-03,2020-01-03,user2@example.com,E000002,0.0002,E000002,E000002,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,fb3f1defc9eb57b0942a9cd50d5b01d7fb3f1defc9eb57b0942a9cd50d5b01d7
3,E000003,410,18,-1,45,7,40,4,8,Emerson Garcia,Willow Employee 3,2020-01-04,2020-01-04,user3@example.com,E000003,0.0003,E000003,E000003,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2b0cee3f55ae5e3a8a4f7b85f65ec3d32b0cee3f55ae5e3a8a4f7b85f65ec3d3
4,E000004,448,30,-1,53,3,16,1,1,Devon Adams,Keystone Employee 4,2020-01-05,2020-01-05,user4@example.com,E000004,0.0004,E000004,E000004,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5541916598815ab8b7a7653fabf532dd5541916598815ab8b7a7653fabf532dd
5,E000005,398,23,-1,51,4,24,4,3,Emerson Evans,Delta Employee 5,2020-01-06,2020-01-06,user5@example.com,E000005,0.0005,E000005,E000005,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,09040afd1f495aa08e95bbbd0c7da19d09040afd1f495aa08e95bbbd0c7da19d
6,E000006,169,40,-1,49,6,18,2,2,Jordan Martin,Quartz Employee 6,2020-01-07,2020-01-07,user6@example.com,E000006,0.0006,E000006,E000006,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f5e2d617b0df5034945faef2645cd437f5e2d617b0df5034945faef2645cd437
7,E000007,103,40,-1,19,8,39,4,9,Riley Diaz,Vertex Employee 7,2020-01-08,2020-01-08,user7@example.com,E000007,0.0007,E000007,E000007,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3082f0d5cf5c569cac29f96694c261593082f0d5cf5c569cac29f96694c26159
8,E000008,391,36,-1,5,8,25,4,11,Finley Singh,Orion Employee 8,2020-01-09,2020-01-09,user8@example.com,E000008,0.0008,E000008,E000008,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9064dfa0f0715dcbafde8164bd10ade99064dfa0f0715dcbafde8164bd10ade9
9,E000009,258,74,-1,23,6,17,1,11,Morgan Bennett,Granite Employee 9,2020-01-10,2020-01-10,user9@example.com,E000009,0.0009,E000009,E000009,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,2fc1bdc69aae541faa892a1bca86ca3e2fc1bdc69aae541faa892a1bca86ca3e
