CustomerChannelKey,ChannelCode,RecordStatusKey,ChannelName,ChannelDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,CC000001,2,Delta CustomerChannel 1,CustomerChannel starter record 1,Finley Bennett,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,CC000002,1,Summit CustomerChannel 2,CustomerChannel starter record 2,Quinn Diaz,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,CC000003,3,Cedar CustomerChannel 3,CustomerChannel starter record 3,Jordan Garcia,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,CC000004,3,Zenith CustomerChannel 4,CustomerChannel starter record 4,Devon Singh,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,CC000005,1,Atlas CustomerChannel 5,CustomerChannel starter record 5,Finley Evans,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,CC000006,1,Ion CustomerChannel 6,CustomerChannel starter record 6,Finley Diaz,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,CC000007,1,Unity CustomerChannel 7,CustomerChannel starter record 7,Blair Bennett,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,CC000008,2,Cedar CustomerChannel 8,CustomerChannel starter record 8,Quinn Reed,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,CC000009,3,Granite CustomerChannel 9,CustomerChannel starter record 9,Riley Adams,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,CC000010,3,Meridian CustomerChannel 10,CustomerChannel starter record 10,Taylor Diaz,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,CC000011,3,Cedar CustomerChannel 11,CustomerChannel starter record 11,Emerson Diaz,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,CC000012,1,Atlas CustomerChannel 12,CustomerChannel starter record 12,Casey Diaz,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,CC000013,3,Cedar CustomerChannel 13,CustomerChannel starter record 13,Taylor Garcia,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,CC000014,3,Delta CustomerChannel 14,CustomerChannel starter record 14,Quinn Diaz,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,CC000015,3,Pioneer CustomerChannel 15,CustomerChannel starter record 15,Blair Diaz,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,CC000016,4,Pioneer CustomerChannel 16,CustomerChannel starter record 16,Taylor Bennett,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,CC000017,4,Delta CustomerChannel 17,CustomerChannel starter record 17,Devon Patel,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,CC000018,4,Zenith CustomerChannel 18,CustomerChannel starter record 18,Jordan Garcia,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,CC000019,3,Junction CustomerChannel 19,CustomerChannel starter record 19,Emerson Chen,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,CC000020,1,Ion CustomerChannel 20,CustomerChannel starter record 20,Finley Diaz,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,CC000021,2,Summit CustomerChannel 21,CustomerChannel starter record 21,Emerson Chen,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,CC000022,2,Beacon CustomerChannel 22,CustomerChannel starter record 22,Alex Patel,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,CC000023,4,Evergreen CustomerChannel 23,CustomerChannel starter record 23,Taylor Singh,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,CC000024,4,Orion CustomerChannel 24,CustomerChannel starter record 24,Morgan Reed,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,CC000025,1,Liberty CustomerChannel 25,CustomerChannel starter record 25,Casey Chen,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,CC000026,3,Meridian CustomerChannel 26,CustomerChannel starter record 26,Harper Chen,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,CC000027,4,Delta CustomerChannel 27,CustomerChannel starter record 27,Alex Reed,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,CC000028,1,Orion CustomerChannel 28,CustomerChannel starter record 28,Quinn Garcia,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,CC000029,1,Keystone CustomerChannel 29,CustomerChannel starter record 29,Alex Patel,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,CC000030,4,Atlas CustomerChannel 30,CustomerChannel starter record 30,Blair Garcia,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,CC000031,4,Ion CustomerChannel 31,CustomerChannel starter record 31,Harper Evans,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,CC000032,4,Ion CustomerChannel 32,CustomerChannel starter record 32,Harper Hughes,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,CC000033,1,Evergreen CustomerChannel 33,CustomerChannel starter record 33,Jordan Diaz,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,CC000034,3,Riverton CustomerChannel 34,CustomerChannel starter record 34,Jordan Chen,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,CC000035,1,Ion CustomerChannel 35,CustomerChannel starter record 35,Quinn Martin,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,CC000036,2,Zenith CustomerChannel 36,CustomerChannel starter record 36,Casey Garcia,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,CC000037,1,Liberty CustomerChannel 37,CustomerChannel starter record 37,Harper Diaz,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,CC000038,1,Beacon CustomerChannel 38,CustomerChannel starter record 38,Finley Diaz,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
39,CC000039,3,Zenith CustomerChannel 39,CustomerChannel starter record 39,Riley Chen,2020-02-09,2021-02-08,1,1,1,2026-08-24T00:00:00.000
40,CC000040,2,Willow CustomerChannel 40,CustomerChannel starter record 40,Quinn Khan,2020-02-10,2021-02-09,0,1,1,2026-08-24T00:00:00.000
41,CC000041,4,Junction CustomerChannel 41,CustomerChannel starter record 41,Taylor Adams,2020-02-11,2021-02-10,1,1,1,2026-08-24T00:00:00.000
42,CC000042,3,Willow CustomerChannel 42,CustomerChannel starter record 42,Quinn Hughes,2020-02-12,2021-02-11,1,1,1,2026-08-24T00:00:00.000
43,CC000043,1,Zenith CustomerChannel 43,CustomerChannel starter record 43,Morgan Martin,2020-02-13,2021-02-12,1,1,1,2026-08-24T00:00:00.000
44,CC000044,2,Junction CustomerChannel 44,CustomerChannel starter record 44,Blair Bennett,2020-02-14,2021-02-13,1,1,1,2026-08-24T00:00:00.000
45,CC000045,4,Meridian CustomerChannel 45,CustomerChannel starter record 45,Quinn Hughes,2020-02-15,2021-02-14,0,1,1,2026-08-24T00:00:00.000
46,CC000046,3,Orion CustomerChannel 46,CustomerChannel starter record 46,Casey Khan,2020-02-16,2021-02-15,1,1,1,2026-08-24T00:00:00.000
47,CC000047,4,Beacon CustomerChannel 47,CustomerChannel starter record 47,Blair Martin,2020-02-17,2021-02-16,1,1,1,2026-08-24T00:00:00.000
48,CC000048,1,Titan CustomerChannel 48,CustomerChannel starter record 48,Taylor Hughes,2020-02-18,2021-02-17,1,1,1,2026-08-24T00:00:00.000
49,CC000049,3,Unity CustomerChannel 49,CustomerChannel starter record 49,Alex Reed,2020-02-19,2021-02-18,1,1,1,2026-08-24T00:00:00.000
50,CC000050,3,Willow CustomerChannel 50,CustomerChannel starter record 50,Casey Chen,2020-02-20,2021-02-19,0,1,1,2026-08-24T00:00:00.000
51,CC000051,4,Willow CustomerChannel 51,CustomerChannel starter record 51,Blair Singh,2020-02-21,2021-02-20,1,1,1,2026-08-24T00:00:00.000
52,CC000052,1,Meridian CustomerChannel 52,CustomerChannel starter record 52,Riley Bennett,2020-02-22,2021-02-21,1,1,1,2026-08-24T00:00:00.000
53,CC000053,1,Delta CustomerChannel 53,CustomerChannel starter record 53,Harper Singh,2020-02-23,2021-02-22,1,1,1,2026-08-24T00:00:00.000
54,CC000054,3,Zenith CustomerChannel 54,CustomerChannel starter record 54,Riley Adams,2020-02-24,2021-02-23,1,1,1,2026-08-24T00:00:00.000
55,CC000055,3,Vertex CustomerChannel 55,CustomerChannel starter record 55,Taylor Hughes,2020-02-25,2021-02-24,0,1,1,2026-08-24T00:00:00.000
56,CC000056,4,Delta CustomerChannel 56,CustomerChannel starter record 56,Finley Garcia,2020-02-26,2021-02-25,1,1,1,2026-08-24T00:00:00.000
57,CC000057,2,Vertex CustomerChannel 57,CustomerChannel starter record 57,Alex Hughes,2020-02-27,2021-02-26,1,1,1,2026-08-24T00:00:00.000
58,CC000058,3,Forge CustomerChannel 58,CustomerChannel starter record 58,Emerson Singh,2020-02-28,2021-02-27,1,1,1,2026-08-24T00:00:00.000
59,CC000059,1,Vertex CustomerChannel 59,CustomerChannel starter record 59,Alex Singh,2020-02-29,2021-02-28,1,1,1,2026-08-24T00:00:00.000
60,CC000060,2,Meridian CustomerChannel 60,CustomerChannel starter record 60,Morgan Singh,2020-03-01,2021-03-01,0,1,1,2026-08-24T00:00:00.000
61,CC000061,1,Atlas CustomerChannel 61,CustomerChannel starter record 61,Finley Garcia,2020-03-02,2021-03-02,1,1,1,2026-08-24T00:00:00.000
62,CC000062,1,Cedar CustomerChannel 62,CustomerChannel starter record 62,Casey Evans,2020-03-03,2021-03-03,1,1,1,2026-08-24T00:00:00.000
63,CC000063,1,Titan CustomerChannel 63,CustomerChannel starter record 63,Jordan Bennett,2020-03-04,2021-03-04,1,1,1,2026-08-24T00:00:00.000
64,CC000064,4,Unity CustomerChannel 64,CustomerChannel starter record 64,Jordan Khan,2020-03-05,2021-03-05,1,1,1,2026-08-24T00:00:00.000
65,CC000065,1,Northstar CustomerChannel 65,CustomerChannel starter record 65,Alex Evans,2020-03-06,2021-03-06,0,1,1,2026-08-24T00:00:00.000
66,CC000066,3,Willow CustomerChannel 66,CustomerChannel starter record 66,Riley Patel,2020-03-07,2021-03-07,1,1,1,2026-08-24T00:00:00.000
67,CC000067,2,Unity CustomerChannel 67,CustomerChannel starter record 67,Morgan Garcia,2020-03-08,2021-03-08,1,1,1,2026-08-24T00:00:00.000
68,CC000068,3,Quartz CustomerChannel 68,CustomerChannel starter record 68,Emerson Martin,2020-03-09,2021-03-09,1,1,1,2026-08-24T00:00:00.000
69,CC000069,4,Pioneer CustomerChannel 69,CustomerChannel starter record 69,Finley Hughes,2020-03-10,2021-03-10,1,1,1,2026-08-24T00:00:00.000
70,CC000070,3,Meridian CustomerChannel 70,CustomerChannel starter record 70,Blair Patel,2020-03-11,2021-03-11,0,1,1,2026-08-24T00:00:00.000
71,CC000071,3,Unity CustomerChannel 71,CustomerChannel starter record 71,Casey Garcia,2020-03-12,2021-03-12,1,1,1,2026-08-24T00:00:00.000
