AssetModelKey,AssetModelCode,AssetManufacturerKey,UnitOfMeasureKey,RecordStatusKey,AssetModelName,AssetModelDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,AM000001,131,1,4,Northstar AssetModel 1,AssetModel starter record 1,Taylor Adams,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,AM000002,69,5,3,Orion AssetModel 2,AssetModel starter record 2,Emerson Evans,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,AM000003,357,5,1,Titan AssetModel 3,AssetModel starter record 3,Alex Reed,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,AM000004,282,2,3,Zenith AssetModel 4,AssetModel starter record 4,Blair Garcia,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,AM000005,438,2,4,Beacon AssetModel 5,AssetModel starter record 5,Casey Hughes,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,AM000006,277,5,4,Titan AssetModel 6,AssetModel starter record 6,Harper Bennett,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,AM000007,437,2,3,Beacon AssetModel 7,AssetModel starter record 7,Alex Diaz,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,AM000008,241,3,2,Granite AssetModel 8,AssetModel starter record 8,Morgan Evans,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,AM000009,169,3,4,Riverton AssetModel 9,AssetModel starter record 9,Finley Khan,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,AM000010,305,4,2,Unity AssetModel 10,AssetModel starter record 10,Harper Hughes,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,AM000011,388,2,4,Harbor AssetModel 11,AssetModel starter record 11,Riley Singh,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,AM000012,490,6,1,Unity AssetModel 12,AssetModel starter record 12,Finley Reed,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,AM000013,439,4,3,Orion AssetModel 13,AssetModel starter record 13,Finley Bennett,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,AM000014,306,2,3,Forge AssetModel 14,AssetModel starter record 14,Morgan Evans,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,AM000015,4,5,2,Cedar AssetModel 15,AssetModel starter record 15,Taylor Martin,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,AM000016,451,5,3,Evergreen AssetModel 16,AssetModel starter record 16,Harper Hughes,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,AM000017,381,2,3,Beacon AssetModel 17,AssetModel starter record 17,Quinn Patel,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,AM000018,317,7,1,Junction AssetModel 18,AssetModel starter record 18,Devon Patel,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,AM000019,93,5,4,Forge AssetModel 19,AssetModel starter record 19,Jordan Hughes,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,AM000020,495,6,4,Northstar AssetModel 20,AssetModel starter record 20,Finley Chen,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,AM000021,47,1,3,Orion AssetModel 21,AssetModel starter record 21,Emerson Bennett,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,AM000022,329,4,1,Liberty AssetModel 22,AssetModel starter record 22,Casey Singh,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,AM000023,11,3,1,Liberty AssetModel 23,AssetModel starter record 23,Taylor Diaz,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,AM000024,103,6,3,Atlas AssetModel 24,AssetModel starter record 24,Quinn Reed,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,AM000025,319,1,2,Riverton AssetModel 25,AssetModel starter record 25,Emerson Patel,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,AM000026,153,6,1,Titan AssetModel 26,AssetModel starter record 26,Taylor Bennett,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
