CostCenterTypeKey,CostCenterTypeCode,RecordStatusKey,CostCenterTypeName,CostCenterTypeDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,CCT000001,4,Summit CostCenterType 1,CostCenterType starter record 1,Blair Martin,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,CCT000002,4,Orion CostCenterType 2,CostCenterType starter record 2,Alex Reed,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,CCT000003,4,Northstar CostCenterType 3,CostCenterType starter record 3,Quinn Hughes,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,CCT000004,3,Keystone CostCenterType 4,CostCenterType starter record 4,Emerson Diaz,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,CCT000005,1,Junction CostCenterType 5,CostCenterType starter record 5,Devon Martin,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,CCT000006,1,Ion CostCenterType 6,CostCenterType starter record 6,Emerson Khan,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,CCT000007,3,Meridian CostCenterType 7,CostCenterType starter record 7,Blair Patel,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,CCT000008,4,Orion CostCenterType 8,CostCenterType starter record 8,Emerson Patel,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,CCT000009,2,Cedar CostCenterType 9,CostCenterType starter record 9,Casey Bennett,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,CCT000010,4,Orion CostCenterType 10,CostCenterType starter record 10,Quinn Hughes,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,CCT000011,4,Meridian CostCenterType 11,CostCenterType starter record 11,Jordan Evans,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,CCT000012,4,Atlas CostCenterType 12,CostCenterType starter record 12,Finley Singh,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,CCT000013,1,Willow CostCenterType 13,CostCenterType starter record 13,Quinn Diaz,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,CCT000014,1,Orion CostCenterType 14,CostCenterType starter record 14,Finley Singh,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,CCT000015,4,Riverton CostCenterType 15,CostCenterType starter record 15,Jordan Chen,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,CCT000016,4,Granite CostCenterType 16,CostCenterType starter record 16,Blair Adams,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,CCT000017,1,Pioneer CostCenterType 17,CostCenterType starter record 17,Riley Khan,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,CCT000018,3,Unity CostCenterType 18,CostCenterType starter record 18,Riley Adams,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,CCT000019,4,Zenith CostCenterType 19,CostCenterType starter record 19,Jordan Bennett,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,CCT000020,4,Evergreen CostCenterType 20,CostCenterType starter record 20,Riley Singh,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,CCT000021,4,Meridian CostCenterType 21,CostCenterType starter record 21,Devon Singh,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,CCT000022,3,Summit CostCenterType 22,CostCenterType starter record 22,Finley Bennett,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,CCT000023,4,Delta CostCenterType 23,CostCenterType starter record 23,Morgan Martin,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,CCT000024,2,Orion CostCenterType 24,CostCenterType starter record 24,Blair Hughes,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
